posting_id,URL,first_seen,last_processed,title_id,company_id,location_id,city_id,country_id,search_pos_id,job_level_id,onsite_flag_id
1046298,https://www.linkedin.com/jobs/view/canvas-consultant-member-service-specialist-lakewood-nmls-at-canvas-credit-union-3786734138,1/13/2024,45:09.2,1905,99,""Lakewoo",22,1,79,2,"1"
1047846,https://www.linkedin.com/jobs/view/hrt-data-reporting-analyst-at-spectrum-3802604278,1/12/2024,45:09.2,2974,1795,""Charlot",284,1,71,1,"1"
1048047,https://www.linkedin.com/jobs/view/data-warehouse-analyst-ii-at-hyatt-hotels-corporation-3719152351,1/13/2024,45:09.2,1025,810,""Jamaica",409,1,17,1,"1"
1049044,https://www.linkedin.com/jobs/view/principal-big-data-architect-at-dematic-3675328369,1/14/2024,25:07.6,201,196,""Atlanta",113,1,78,1,"1"
1050946,https://www.linkedin.com/jobs/view/senior-planning-manager-data-center-construction-at-equinix-3801590721,1/16/2024,13:29.3,4828,383,""Frisco,",147,1,529,1,"1"
1054114,https://www.linkedin.com/jobs/view/water-data-science-postdoctoral-fellow-at-berkeley-lab-3771383440,1/13/2024,45:09.2,4599,2971,""Berkele",79,1,377,2,"1"
1054587,https://www.linkedin.com/jobs/view/gc001de2-mid-level-database-engineer-cleared-at-nisus-technologies-corporation-3799386233,1/16/2024,41:56.8,5757,2188,""Annapol",102,1,18,1,"1"
1054985,https://ca.linkedin.com/jobs/view/al-ml-architect-at-tata-consultancy-services-3781726858,1/12/2024,45:09.2,1698,493,""Mississ",494,3,4,1,"1"
1056886,https://www.linkedin.com/jobs/view/database-stewardship-manager-at-walsh-jesuit-high-school-3801895818,1/14/2024,36:15.7,6108,3803,""Cuyahog",601,1,567,1,"1"
1056913,https://www.linkedin.com/jobs/view/sr-data-analyst-mid-atlantic-permanente-medical-group-p-c-at-mid-atlantic-permanente-medical-group-kaiser-permanente-3783531103,1/13/2024,45:09.2,1195,948,""Rockvil",128,1,17,1,"1"
1057870,https://www.linkedin.com/jobs/view/senior-software-engineer-distributed-data-systems-at-databricks-3644436781,1/17/2024,20:39.5,990,206,""Mountai",60,1,337,1,"1"
1058649,https://www.linkedin.com/jobs/view/data-assurance-risk-and-controls-vice-president-at-jpmorgan-chase-co-3788914677,1/14/2024,34:14.5,5675,357,""Chicago",94,1,78,1,"1"
1059527,https://www.linkedin.com/jobs/view/usda-ars-postgraduate-research-associate-fellowship-geospatial-data-specialist-at-oak-ridge-institute-for-science-and-education-3771449060,1/13/2024,45:09.2,1946,444,""Frankfo",589,1,309,1,"1"
1060405,https://www.linkedin.com/jobs/view/data-scientist-senior-data-scientist-at-coinbase-3620841953,1/13/2024,45:09.2,217,187,""Miami, ",528,1,64,1,"1"
1061451,https://www.linkedin.com/jobs/view/senior-datastage-developer-at-eliassen-group-3793850692,1/14/2024,50:33.3,4679,1239,""Renssel",475,1,5,1,"1"
1061913,https://www.linkedin.com/jobs/view/senior-navy-logistics-data-analyst-with-security-clearance-at-clearancejobs-3753455269,1/14/2024,08:09.1,6302,32,""Santa B",718,1,79,1,"1"
1062343,https://www.linkedin.com/jobs/view/data-catalog-product-manager-at-dice-3802124924,1/13/2024,45:09.2,2012,5,""Lehi, U",571,1,76,1,"1"
1063130,https://www.linkedin.com/jobs/view/merchandising-business-data-analyst-at-the-buckle-inc-3778935499,1/13/2024,45:09.2,3769,2764,""Kearney",99,1,14,1,"1"
1063170,https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-identity-at-stripe-3777440641,1/14/2024,22:48.5,148,37,""Chicago",239,1,302,1,"1"
1063655,https://www.linkedin.com/jobs/view/sr-manager-data-engineering-at-pepsico-3754932179,1/17/2024,36:13.9,4708,244,""Plano, ",44,1,38,1,"1"
1063857,https://www.linkedin.com/jobs/view/medical-lab-scientist-mt-or-mlt-at-gallin-associates-3769267211,1/15/2024,56:53.8,1844,513,""Columbu",59,1,49,1,"1"
1063871,https://www.linkedin.com/jobs/view/senior-mlops-engineer-at-recruiting-from-scratch-3784453830,1/15/2024,22:42.1,15,12,""New Yor",101,1,155,1,"1"
1065320,https://www.linkedin.com/jobs/view/human-resources-audit-data-analyst-at-spectraforce-3748537881,1/13/2024,45:09.2,1486,278,""Princet",138,1,17,1,"1"
1065833,https://www.linkedin.com/jobs/view/data-engineer-at-people-tech-group-inc-3801429337,1/13/2024,45:09.2,71,1990,""Redmond",561,1,6,1,"1"
1067985,https://www.linkedin.com/jobs/view/healthcare-data-analyst-at-oxford-solutions-3802942886,1/13/2024,45:09.2,1394,2591,""Pittsbu",414,1,14,1,"1"
1068252,https://www.linkedin.com/jobs/view/superintendent-data-center-construction-nashville-tn-at-michael-page-3779346901,1/14/2024,07:04.0,4931,43,""Nashvil",310,1,41,1,"1"
1068879,https://www.linkedin.com/jobs/view/manager-of-datacenter-and-telecommunication-infrastructure-at-towson-university-3776214064,1/13/2024,45:09.2,2691,2095,""Towson,",346,1,55,1,"1"
1071097,https://www.linkedin.com/jobs/view/director-senior-quantitative-finance-analyst-aml-model-validator-at-bank-of-america-3763850680,1/15/2024,59:39.5,317,42,""Jersey ",245,1,165,1,"1"
1071332,https://www.linkedin.com/jobs/view/director-securities-data-oversight-at-jobs-for-humanity-3805387910,1/16/2024,40:03.2,781,1,""Boston,",165,1,261,1,"1"
1071955,https://uk.linkedin.com/jobs/view/metocean-data-analyst-at-partrac-3785078352,1/13/2024,45:09.2,3848,2825,""Newton ",570,2,14,1,"1"
1072974,https://www.linkedin.com/jobs/view/data-security-analyst-senior-with-security-clearance-at-clearancejobs-3753463652,1/14/2024,41:33.6,4735,32,""Fort Go",278,1,14,1,"1"
1073913,https://www.linkedin.com/jobs/view/data-manager-mid-at-els-inc-3798212398,1/15/2024,31:33.3,6034,3773,""Washing",102,1,238,1,"1"
1074042,https://www.linkedin.com/jobs/view/data-analyst-iv-at-winmax-3796594865,1/13/2024,45:09.2,166,161,""Cuperti",56,1,17,2,"1"
1076556,https://uk.linkedin.com/jobs/view/senior-oracle-database-design-engineer-at-energy-jobline-3786099536,1/13/2024,45:09.2,1972,13,""Edinbur",266,2,303,1,"1"
1076760,https://uk.linkedin.com/jobs/view/metadata-discovery-manager-at-university-of-leeds-3796844871,1/13/2024,45:09.2,4392,3098,""Leeds, ",326,2,150,1,"1"
