posting_id	skill_id
3141520	694
3141520	67
3141520	695
3141520	696
3141520	697
3141520	698
3141520	699
3141520	700
3141520	701
3141520	702
3141520	703
3141520	704
8416488	3
8416488	6
8416488	416
8416488	52
8416488	111
8416488	485
8416488	480
8416488	479
8416488	504
8416488	21
8416488	505
8416488	66
8416488	515
8416488	498
8416488	503
8416488	512
8416488	48
8416488	506
8416488	507
8416488	508
8416488	510
8416488	575
8416488	513
8416488	514
8416488	706
8416488	89
8416488	517
2018617	707
2018617	708
2018617	709
2018617	710
2018617	711
2018617	712
2018617	400
2018617	714
2018617	715
2018617	716
2018617	717
2018617	718
2018617	719
2018617	720
2018617	721
2018617	161
2018617	722
2018617	47
2018617	723
2018617	724
2018617	606
2018617	215
2018617	198
2018617	725
2018617	486
2018617	348
2018617	726
2018617	727
2018617	728
2018617	716
2018617	729
2018617	730
2018617	731
2018617	732
2018617	733
2018617	734
2018617	735
2018617	736
2018617	737
2018617	738
2018617	587
2018617	739
2018617	740
2018617	741
2018617	742
2018617	743
2018617	744
2018617	745
3238707	1
3238707	325
3238707	747
3238707	748
3238707	3
3238707	28
3238707	361
3238707	749
3238707	750
3238707	751
3238707	10
3238707	546
3238707	510
3238707	752
7919274	753
7919274	53
7919274	754
7919274	755
7919274	756
7919274	3
7919274	129
7919274	757
7919274	758
7919274	759
7919274	66
7919274	760
7919274	761
7919274	762
7919274	763
7919274	764
7919274	765
7919274	766
7919274	767
7919274	768
7919274	769
7919274	770
7919274	47
7919274	104
7919274	161
7919274	771
7919274	772
7919274	773
6584530	334
6584530	6
6584530	347
6584530	774
6584530	204
6584530	671
6584530	576
6584530	1
6584530	16
6584530	777
6584530	133
6584530	129
6584530	3
6584530	66
6584530	778
6584530	779
6584530	780
6584530	465
6584530	215
6584530	781
6584530	782
6880964	48
6880964	783
6880964	10
6880964	489
6880964	784
6880964	55
6880964	56
6880964	57
6880964	280
6880964	788
6880964	112
6880964	789
6880964	790
6880964	4
6880964	5
6880964	791
6880964	792
6880964	793
6880964	794
6880964	795
6880964	796
6880964	797
6880964	479
6880964	798
6880964	799
6880964	800
6880964	801
6880964	802
9060325	803
9060325	804
9060325	124
9060325	805
9060325	806
9060325	111
9060325	807
9060325	157
9060325	808
9060325	430
9060325	3
9060325	66
9060325	83
9060325	809
9060325	810
9060325	811
9060325	812
9060325	813
9060325	814
9060325	815
9060325	816
9060325	817
9060325	818
9060325	819
9060325	820
9060325	821
9060325	822
9060325	823
9060325	749
9060325	478
9060325	824
9060325	825
9060325	826
9060325	827
9060325	480
9060325	479
9060325	828
9060325	829
9060325	830
9060325	565
9060325	831
9060325	12
9060325	529
9060325	832
9060325	833
9060325	834
9060325	835
9060325	836
9060325	837
9060325	838
9060325	839
9060325	840
9060325	11
9060325	629
9060325	841
9060325	628
9060325	80
9060325	298
9060325	842
9060325	124
9060325	843
9060325	844
9060325	845
9060325	846
9060325	847
9060325	848
9060325	849
9060325	850
9060325	851
9060325	852
9060325	853
9060325	854
9060325	855
9060325	195
9060325	692
9060325	65
9060325	315
9060325	856
9060325	487
9060325	858
9060325	164
9060325	859
9060325	860
9060325	861
9060325	607
9060325	862
9060325	863
9060325	165
9060325	166
9060325	864
9060325	865
9060325	866
9060325	867
9060325	868
9060325	667
2432474	63
2432474	1
2432474	3
2432474	505
2432474	66
2432474	870
2432474	871
2432474	416
2432474	47
2432474	723
2432474	46
2432474	872
2432474	873
2432474	874
6734151	875
6734151	876
6734151	877
6734151	878
6734151	879
6734151	880
6734151	881
6734151	882
6734151	883
6734151	239
6734151	885
6734151	886
6734151	887
6734151	888
6734151	889
6734151	890
6734151	105
6734151	892
2020297	6
2020297	893
2020297	894
2020297	895
2020297	896
2020297	534
2020297	10
2020297	897
2020297	898
2020297	899
2020297	900
2020297	228
2020297	202
2020297	901
2020297	902
2020297	903
2020297	222
2020297	904
2020297	905
2020297	50
2020297	329
2020297	907
2020297	215
2020297	465
2020297	908
2020297	909
2020297	910
7233946	740
7233946	912
7233946	913
7233946	914
7233946	915
7233946	916
7233946	917
7233946	918
7233946	919
7233946	920
7233946	921
7233946	922
7233946	181
7233946	923
7233946	924
7233946	163
7233946	65
7233946	860
7233946	161
1446256	416
1446256	925
1446256	926
1446256	927
1446256	928
1446256	929
1446256	930
1446256	931
1446256	932
1446256	933
1446256	934
1446256	935
1446256	936
1446256	937
1446256	938
7117300	404
7117300	939
7117300	940
7117300	295
7117300	706
7117300	942
7117300	943
7117300	944
7117300	945
7117300	946
7117300	947
7117300	948
7117300	949
7117300	950
7117300	951
7117300	952
7117300	953
7117300	47
7117300	954
7117300	163
7117300	955
7117300	956
7117300	957
7117300	958
7117300	959
7117300	960
7117300	961
5279630	6
5279630	214
5279630	104
5279630	51
5279630	962
5279630	66
5279630	68
5279630	48
5279630	298
5279630	963
5279630	964
5279630	11
5279630	307
5279630	340
5279630	65
5279630	64
5279630	111
5279630	565
5279630	5
5279630	3
5279630	361
5279630	128
5279630	21
5279630	109
5279630	1
5279630	965
5279630	334
5279630	52
5279630	966
5279630	967
5279630	968
5279630	969
5279630	970
5279630	971
5279630	972
1654377	973
1654377	60
1654377	9
1654377	80
1654377	974
1654377	111
1654377	975
1654377	976
1654377	977
1654377	978
1654377	979
1654377	980
1654377	981
1654377	982
1654377	983
1654377	984
1654377	985
5514947	986
5514947	987
5514947	988
5514947	989
5514947	990
5514947	991
5514947	992
5514947	993
5514947	994
5514947	995
5514947	996
5514947	997
5514947	998
5514947	999
5514947	1000
5514947	1001
5514947	1002
5514947	1003
5514947	1004
5514947	1005
